"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
31,1,"PU","0ISWL-0184A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Timing Controller","SW0674 SILICON WORKS LVDS 6/8 1/2 EPI / MINI-LVDS 6/8 EPI 6P(1/2PAIR) / MINI-LVDS 3/6PAIR A-FRC DGA WAVY INDUS MLF TR 68","","","6871L-5188A","","UD1","",""
32,1,"XX","0RH2001C422","N","Supplier","Active",4,4,"EA","2016-11-28 16:41:59","","chip Resistor","2K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R100,R55,R82,R84","",""
33,1,"XX","0RH0102C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","10 ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R141,R162","",""
34,1,"XX","0RH1602C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","16K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R118,R71","",""
35,1,"XX","0RH1501C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","1.5K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R143,R155","",""
36,1,"XX","0CH2102K568","N","Supplier","Active",3,3,"EA","2016-11-28 16:41:59","","MLCC","1nF K 50V X7R 0.55mm 1005 R/TP","","","6871L-5188A","","C24,C26,C33","",""
37,1,"XX","0RH3002C422","N","Supplier","Active",3,3,"EA","2017-01-24 08:43:55","","chip Resistor","30K ohm 1/16W 1608 1% R/TP","","AG17005601","6871L-5188A","","R163,R164,R168","",""
38,1,"XX","0CH2A-0072A","N","Supplier","Active",6,6,"EA","2016-11-28 16:41:59","","MLCC","10uF K 10V X5R 1.35mm 2012 R/TP","","","6871L-5188A","","C105,C106,C513,C81,C83,C91","",""
39,1,"XX","0CH2A-0023A","N","Supplier","Active",17,17,"EA","2016-11-28 16:41:59","","MLCC","0.1uF K 25V X7R 0.9mm 1608 R/TP","","","6871L-5188A","","C104,C115,C117,C128,C130,C3,C42,C44,C46,C47,C6,C72,C73,C75,C76,C8,C9","",""
40,1,"XX","0CH2104K562","N","Supplier","Active",3,3,"EA","2017-01-24 08:43:55","","MLCC","0.1uF K 50V X7R 0.95mm 1608 R/TP","","AG17005601","6871L-5188A","","C119,C14,C19","",""
