"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"PU","0RH1002C422","N","Supplier","Active",4,4,"EA","2017-01-02 17:26:00","","chip Resistor","10K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R105,R113,R132,R82","",""
2,1,"PU","0RH1000C422","N","Supplier","Active",2,2,"EA","2017-01-02 17:26:00","","chip Resistor","100 ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R86,R87","",""
3,1,"PU","0RH1302C422","N","Supplier","Active",1,1,"EA","2017-01-02 17:26:00","","chip Resistor","13K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R139","",""
4,1,"PU","6322L-0012A","N","Assembly Pull","Active",1,1,"EA","2017-01-02 17:26:00","","Thermistor","22K +-3% - 0.21 MA 3950 1005 R/TP","","","6871L-4126C","","RT1","",""
5,1,"PU","0RH2402C422","N","Supplier","Active",2,2,"EA","2017-01-02 17:26:00","","chip Resistor","24K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R31,R34","",""
6,1,"PU","0CH2A-0007A","N","Supplier","Active",2,2,"EA","2017-01-02 17:26:00","","MLCC","1uF K 10V X5R 0.9mm 1608 R/TP","","","6871L-4126C","","C46,C62","",""
7,1,"PU","0RH1503C422","N","Supplier","Active",3,3,"EA","2017-01-02 17:26:00","","chip Resistor","150K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R136,R140,R59","",""
8,1,"PU","0RH6802C422","N","Supplier","Active",2,2,"EA","2017-01-02 17:26:00","","chip Resistor","68K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R109,R117","",""
9,1,"PU","0CH2A-0070A","N","Supplier","Active",4,4,"EA","2017-01-02 17:26:00","","MLCC","10uF K 25V X5R 1.5mm 2012 R/TP","","","6871L-4126C","","C22,C84,C86,C9","",""
10,1,"PU","0CH2A-0078A","N","Supplier","Active",9,9,"EA","2017-01-02 17:26:00","","MLCC","560pF J 50V C0G 0.95mm 1608 R/TP","","","6871L-4126C","","C101,C103,C105,C106,C107,C108,C109,C110,C111","",""
11,1,"PU","0LCZZ-0004A","N","Assembly Pull","Active",1,1,"EA","2017-01-02 17:26:00","","Chip Inductor","LQM2MPN2R2NG0 MURATA 2.2UH +-30% 1.2A 2X1.6X1.0MAX R/TP","","","6871L-4126C","","L3","",""
12,1,"PU","0CH2A-0135A","N","Supplier","Active",1,1,"EA","2017-01-02 17:26:00","","MLCC","10UF K 10V X7R 1.4mm 2012 R/TP","","","6871L-4126C","","C81","",""
13,1,"PU","0RH1602C422","N","Supplier","Active",2,2,"EA","2017-01-02 17:26:00","","chip Resistor","16K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R108,R62","",""
14,1,"PU","0RH2002C422","N","Supplier","Active",3,3,"EA","2017-01-02 17:26:00","","chip Resistor","20K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R106,R73,R75","",""
15,1,"PU","0CH2A-0069A","N","Supplier","Active",3,3,"EA","2017-01-02 17:26:00","","MLCC","10uF K 16V X5R 1.35mm 2012 R/TP","","","6871L-4126C","","C52,C54,C56","",""
16,1,"PU","0RH3002C422","N","Supplier","Active",4,4,"EA","2017-01-02 17:26:00","","chip Resistor","30K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R111,R112,R114,R51","",""
17,1,"PU","0RH5102C422","N","Supplier","Active",1,1,"EA","2017-01-02 17:26:00","","chip Resistor","51K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R60","",""
18,1,"PU","0RH2401C422","N","Supplier","Active",5,5,"EA","2017-01-02 17:26:00","","chip Resistor","2.4K ohm 1/16W 1608 1% R/TP","","","6871L-4126C","","R50,R54,R63,R83,R84","",""
