"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"XX","6870C-0532C","N","Supplier","Active",1,1,"EA","2014-08-14 12:45:41","","Bare PCB","LC490EUE-FHM1-8S1 2L 1.2T 129.8*46.5 8 N Control 243.5*195 Single Side","","AG14684901","6871L-3966A","","","",""
2,1,"PU","0LCAA-0114A","N","Assembly Pull","Active",2,2,"EA","2014-06-16 17:50:38","","Coil Inductor","PNL6040-220M DACOWELL 22UH M=20% 2.2A 95.0MOHM 6.0X6.0X4.0MM R/TP","","","6871L-3966A","","L1,L3","",""
3,1,"PU","0RHAA-0040A","N","Supplier","Active",2,2,"EA","2014-06-16 17:50:38","","chip Resistor","56 ohm 1/16W 1005 1% R/TP","","","6871L-3966A","","R101,R102","",""
4,1,"PU","0RHAA-0304A","N","Supplier","Active",2,2,"EA","2014-06-16 17:50:38","","Chip Resistor","2.2OHM 1/16W 1005 1% R/TP","","","6871L-3966A","","R17,R18","",""
5,1,"PU","0CH2A-0118A","N","Supplier","Active",6,6,"EA","2014-06-16 17:50:38","","MLCC","560PF J 50V C0G 0.55mm 1005 R/TP","","","6871L-3966A","","C151,C152,C153,C154,C155,C156","",""
6,1,"PU","0RH1302C422","N","Supplier","Active",1,1,"EA","2014-06-16 17:50:38","","chip Resistor","13K ohm 1/16W 1608 1% R/TP","","","6871L-3966A","","R16","",""
7,1,"PU","0RHAA-0090A","N","Supplier","Active",2,2,"EA","2014-06-16 17:50:38","","chip Resistor","4.7K ohm 1/16W 1005 1% R/TP","","","6871L-3966A","","R5,R6","",""
8,1,"PU","0RHAA-0018A","N","Supplier","Active",3,3,"EA","2014-06-16 17:50:38","","chip Resistor","1K ohm 1/16W 1005 1% R/TP","","","6871L-3966A","","R11,R14,R24","",""
9,1,"PU","0DHZL-0028B","N","Assembly Pull","Active",1,1,"EA","2014-06-16 17:50:38","","Zener Diode","KDZ3.3V-RTK/H KEC USC R/TP","","","6871L-3966A","","ZD1","",""
10,1,"PU","0CH2A-0289A","N","Supplier","Active",5,5,"EA","2014-08-14 12:45:41","","MLCC","1UF K 25V X6S 0.6mm 1005 R/TP","","AG14684901","6871L-3966A","","C100,C107,C108,C123,C127","",""
11,1,"PU","0RHAA-0076A","N","Supplier","Active",1,1,"EA","2014-06-16 17:50:38","","chip Resistor","33K ohm 1/16W 1005 1% R/TP","","","6871L-3966A","","R121","",""
12,1,"PU","0LCZZ-0026A","N","Assembly Pull","Active",1,1,"EA","2014-06-16 17:50:38","","Chip Inductor","CPI2520NHL6R8ME SAMHWA 6.8UH M=20% 1.2A 2520 R/TP","","","6871L-3966A","","L2","",""
13,1,"PU","0CH2A-0141A","N","Supplier","Active",3,3,"EA","2014-06-16 17:50:38","","MLCC","1UF K 50V X7R 1.35mm 2012 R/TP","","","6871L-3966A","","C101,C102,C104","",""
14,1,"PU","0CH2A-0024A","N","Supplier","Active",2,2,"EA","2014-06-16 17:50:38","","MLCC","10uF K 25V X7R 2.2mm 3225 R/TP","","","6871L-3966A","","C115,C134","",""
15,1,"PU","0RH2701C422","N","Supplier","Active",1,1,"EA","2014-06-16 17:50:38","","chip Resistor","2.7K ohm 1/16W 1608 1% R/TP","","","6871L-3966A","","R117","",""
