"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"PU","0RHAA-0018A","N","Supplier","Active",3,3,"EA","2016-08-01 11:28:23","","chip Resistor","1K ohm 1/16W 1005 1% R/TP","","","6871L-5083A","","R1,R22,R3","",""
2,1,"PU","0CH2A-0018A","N","Supplier","Active",8,8,"EA","2016-08-01 11:28:23","","MLCC","1uF K 6.3V X5R 0.55mm 1005 R/TP","","","6871L-5083A","","C10,C11,C12,C13,C15,C16,C17,C18","",""
3,1,"PU","0RH4701C422","N","Supplier","Active",2,2,"EA","2016-08-01 11:28:23","","chip Resistor","4.7K ohm 1/16W 1608 1% R/TP","","","6871L-5083A","","R10,R11","",""
4,1,"PU","0RH2701C422","N","Supplier","Active",1,1,"EA","2016-08-01 11:28:23","","chip Resistor","2.7K ohm 1/16W 1608 1% R/TP","","","6871L-5083A","","R81","",""
5,1,"PU","0RH0102C422","N","Supplier","Active",2,2,"EA","2016-08-01 11:28:23","","chip Resistor","10 ohm 1/16W 1608 1% R/TP","","","6871L-5083A","","R123,R61","",""
6,1,"PU","0CH2102K568","N","Supplier","Active",4,4,"EA","2016-08-01 11:28:23","","MLCC","1nF K 50V X7R 0.55mm 1005 R/TP","","","6871L-5083A","","C67,C68,C85,C86","",""
7,1,"PU","6322L-0022A","N","Assembly Pull","Active",1,1,"EA","2016-08-01 11:28:23","","Thermistor","47K OHM (JOINSET) +-5% 100 MW 0.21 MA 4050K 1005 R/TP","","","6871L-5083A","","RT1","",""
8,1,"PU","0CH2A-0155A","N","Supplier","Active",4,4,"EA","2016-08-01 11:28:23","","MLCC","1UF K 25V X7R 0.95mm 1608 R/TP","","","6871L-5083A","","C114,C40,C41,C50","",""
9,1,"PU","0RH3302C422","N","Supplier","Active",2,2,"EA","2016-08-01 11:28:23","","chip Resistor","33K ohm 1/16W 1608 1% R/TP","","","6871L-5083A","","R100,R51","",""
10,1,"PU","0RH0000C622","N","Supplier","Active",6,6,"EA","2016-08-01 11:28:23","","chip Resistor","0 ohm 1/16W 1608 5% R/TP","","","6871L-5083A","","R116,R124,R47,R52,R63,R80","",""
11,1,"PU","0CH2104H942","N","Supplier","Active",7,7,"EA","2016-08-01 11:28:23","","MLCC","0.1uF Z 25V Y5V 0.9mm 1608 R/TP","","","6871L-5083A","","C115,C130,C132,C2,C64,C69,C80","",""
12,1,"PU","0RH6801C422","N","Supplier","Active",1,1,"EA","2016-08-01 11:28:23","","chip Resistor","6.8K ohm 1/16W 1608 1% R/TP","","","6871L-5083A","","R13","",""
13,1,"PU","0RH0221C622","N","Supplier","Active",1,1,"EA","2016-08-01 11:28:23","","chip Resistor","2.2 ohm 1/16W 1608 5% R/TP","","","6871L-5083A","","R60","",""
14,1,"PU","0RHAA-0091A","N","Supplier","Active",1,1,"EA","2016-08-01 11:28:23","","chip Resistor","47K ohm 1/16W 1005 1% R/TP","","","6871L-5083A","","R90","",""
15,1,"PU","0RH0000B622","N","Supplier","Active",9,9,"EA","2016-08-01 11:28:23","","chip Resistor","0 ohm 1/16W 1005 5% R/TP","","","6871L-5083A","","R131,R132,R133,R134,R135,R136,R2,R27,R40","",""
16,1,"PU","0RHAA-0032A","N","Supplier","Active",3,3,"EA","2016-08-01 11:28:23","","chip Resistor","100K ohm 1/16W 1005 1% R/TP","","","6871L-5083A","","R45,R50,R91","",""
