"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"XX","6870C-0471D","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","Bare PCB","LC470DUN-PGP1-KA1 2L 1.2 129.8*46.5 8 J Control 195*243.5 Single Side","","","6871L-3653B","","","",""
2,1,"PU","0LCAA-0114A","N","Assembly Pull","Active",2,2,"EA","2014-05-07 15:52:32","","Coil Inductor","PNL6040-220M DACOWELL 22UH M=20% 2.2A 95.0MOHM 6.0X6.0X4.0MM R/TP","","","6871L-3653B","","L1,L3","",""
3,1,"PU","0RHAA-0040A","N","Supplier","Active",2,2,"EA","2014-05-07 15:52:32","","chip Resistor","56 ohm 1/16W 1005 1% R/TP","","","6871L-3653B","","R101,R102","",""
4,1,"PU","0RHAA-0304A","N","Supplier","Active",2,2,"EA","2014-05-07 15:52:32","","Chip Resistor","2.2OHM 1/16W 1005 1% R/TP","","","6871L-3653B","","R17,R18","",""
5,1,"PU","0CH2A-0118A","N","Supplier","Active",6,6,"EA","2014-05-07 15:52:32","","MLCC","560PF J 50V C0G 0.55mm 1005 R/TP","","","6871L-3653B","","C151,C152,C153,C154,C155,C156","",""
6,1,"PU","0CH2472K568","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","MLCC","4.7nF K 50V X7R 0.55mm 1005 R/TP","","","6871L-3653B","","C117","",""
7,1,"PU","0RH1302C422","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","chip Resistor","13K ohm 1/16W 1608 1% R/TP","","","6871L-3653B","","R16","",""
8,1,"PU","0RHAA-0090A","N","Supplier","Active",2,2,"EA","2014-05-07 15:52:32","","chip Resistor","4.7K ohm 1/16W 1005 1% R/TP","","","6871L-3653B","","R5,R6","",""
9,1,"PU","0RHAA-0018A","N","Supplier","Active",3,3,"EA","2014-05-07 15:52:32","","chip Resistor","1K ohm 1/16W 1005 1% R/TP","","","6871L-3653B","","R11,R14,R24","",""
10,1,"PU","0DHZL-0028B","N","Assembly Pull","Active",1,1,"EA","2014-05-07 15:52:32","","Zener Diode","KDZ3.3V-RTK/H KEC USC R/TP","","","6871L-3653B","","ZD1","",""
11,1,"PU","0CH2A-0018A","N","Supplier","Active",9,9,"EA","2014-05-07 15:52:32","","MLCC","1uF K 6.3V X5R 0.55mm 1005 R/TP","","","6871L-3653B","","C10,C113,C2,C3,C4,C5,C6,C7,C8","",""
12,1,"PU","0RHAA-0076A","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","chip Resistor","33K ohm 1/16W 1005 1% R/TP","","","6871L-3653B","","R121","",""
13,1,"PU","0RHAA-0045A","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","chip Resistor","1M ohm 1/16W 1005 1% R/TP","","","6871L-3653B","","R15","",""
14,1,"PU","0CH2A-0079A","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","MLCC","2.2nF K 50V X5R 0.5mm 1005 R/TP","","","6871L-3653B","","C118","",""
15,1,"PU","0LCZZ-0026A","N","Assembly Pull","Active",1,1,"EA","2014-05-07 15:52:32","","Chip Inductor","CPI2520NHL6R8ME SAMHWA 6.8UH M=20% 1.2A 2520 R/TP","","","6871L-3653B","","L2","",""
16,1,"PU","0CH2A-0024A","N","Supplier","Active",5,5,"EA","2014-05-07 15:52:32","","MLCC","10uF K 25V X7R 2.2mm 3225 R/TP","","","6871L-3653B","","C1,C114,C115,C134,C180","",""
17,1,"PU","0RH2701C422","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","chip Resistor","2.7K ohm 1/16W 1608 1% R/TP","","","6871L-3653B","","R117","",""
18,1,"PU","0RH5100C422","N","Supplier","Active",2,2,"EA","2014-05-07 15:52:32","","chip Resistor","510 ohm 1/16W 1608 1% R/TP","","","6871L-3653B","","R1,R2","",""
19,1,"PU","0RH9101C422","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","chip Resistor","9.1K ohm 1/16W 1608 1% R/TP","","","6871L-3653B","","R118","",""
20,1,"PU","0ITIL-0121B","N","Assembly Pull","Active",1,1,"EA","2014-05-07 15:52:32","","Power Integration IC","TPS65175A TEXAS INSTRUMENT TV PMIC QFN R/TP 56","","","6871L-3653B","","U11","",""
21,1,"PU","0RH1002B422","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","chip Resistor","10K ohm 1/16W 1005 1% R/TP","","","6871L-3653B","","R113","",""
22,1,"PU","0RH2001C422","N","Supplier","Active",2,2,"EA","2014-05-07 15:52:32","","chip Resistor","2K ohm 1/16W 1608 1% R/TP","","","6871L-3653B","","R116,R509","",""
23,1,"PU","0RH1501C422","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","chip Resistor","1.5K ohm 1/16W 1608 1% R/TP","","","6871L-3653B","","R110","",""
24,1,"PU","0CH2102K568","N","Supplier","Active",1,1,"EA","2014-05-07 15:52:32","","MLCC","1nF K 50V X7R 0.55mm 1005 R/TP","","","6871L-3653B","","C132","",""
25,1,"PU","0CH2A-0072A","N","Supplier","Active",2,2,"EA","2014-05-07 15:52:32","","MLCC","10uF K 10V X5R 1.35mm 2012 R/TP","","","6871L-3653B","","C111,C112","",""
26,1,"PU","0CH2A-0070A","N","Supplier","Active",3,3,"EA","2014-05-07 15:52:32","","MLCC","10uF K 25V X5R 1.5mm 2012 R/TP","","","6871L-3653B","","C124,C125,C126","",""
