"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"XX","0RH1000C422","N","Supplier","Active",4,4,"EA","2017-03-07 21:40:05","","chip Resistor","100 ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R50,R70,R71,R72","",""
2,1,"XX","0RH2402C422","N","Supplier","Active",2,2,"EA","2016-11-28 13:58:41","","chip Resistor","24K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R48,R94","",""
3,1,"XX","0RH4702C422","N","Supplier","Active",2,2,"EA","2016-11-28 13:58:41","","chip Resistor","47K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R75,R79","",""
4,1,"XX","0RH1002C422","N","Supplier","Active",4,4,"EA","2017-03-07 21:40:05","","chip Resistor","10K ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R103,R31,R69,R81","",""
5,1,"XX","0RH1202C422","N","Supplier","Active",2,2,"EA","2017-03-07 21:40:05","","chip Resistor","12K ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R82,R97","",""
6,1,"XX","0RH8200C422","N","Supplier","Active",2,2,"EA","2016-11-28 13:58:41","","chip Resistor","820 ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R23,R26","",""
7,1,"XX","0RH6802C422","N","Supplier","Active",1,1,"EA","2017-03-07 21:40:05","","chip Resistor","68K ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R52","",""
8,1,"XX","0CH2A-0043A","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","MLCC","4.7uF K 16V X5R 0.95mm 2012 R/TP","","","6871L-5189A","","C56","",""
9,1,"XX","0RH4701C422","N","Supplier","Active",4,4,"EA","2017-03-07 21:40:05","","chip Resistor","4.7K ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R27,R64,R65,R67","",""
10,1,"PU","0DHZL-0142A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 13:58:41","","ESD Protection Diode","SD05 SEMTECH SOD323 R/TP","","","6871L-5189A","","D1","",""
11,1,"XX","0RH8201C422","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","chip Resistor","8.2K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R80","",""
12,1,"XX","0RH2701C422","N","Supplier","Active",4,4,"EA","2016-11-28 13:58:41","","chip Resistor","2.7K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R10,R13,R133,R138","",""
13,1,"XX","0CH2A-0034A","N","Supplier","Active",6,6,"EA","2016-11-28 13:58:41","","MLCC","10UF K 25V X5R 1.0mm 3216 R/TP","","","6871L-5189A","","C105,C107,C108,C27,C47,C7","",""
14,1,"XX","0RH1503C422","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","chip Resistor","150K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R74","",""
15,1,"XX","0CH2A-0078A","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","MLCC","560pF J 50V C0G 0.95mm 1608 R/TP","","","6871L-5189A","","C65","",""
16,1,"XX","0CH2A-0069A","N","Supplier","Active",4,4,"EA","2016-11-28 13:58:41","","MLCC","10uF K 16V X5R 1.35mm 2012 R/TP","","","6871L-5189A","","C109,C111,C112,C114","",""
17,1,"PU","0ISWL-0184A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 13:58:41","","Timing Controller","SW0674 SILICON WORKS LVDS 6/8 1/2 EPI / MINI-LVDS 6/8 EPI 6P(1/2PAIR) / MINI-LVDS 3/6PAIR A-FRC DGA WAVY INDUS MLF TR 68","","","6871L-5189A","","UD1","",""
18,1,"XX","0RH0102C422","N","Supplier","Active",2,2,"EA","2016-11-28 13:58:41","","chip Resistor","10 ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R102,R127","",""
19,1,"XX","0RH1501C422","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","chip Resistor","1.5K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R92","",""
20,1,"XX","0RH1602C422","N","Supplier","Active",2,2,"EA","2016-11-28 13:58:41","","chip Resistor","16K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R20,R76","",""
21,1,"XX","0RH3002C422","N","Supplier","Active",2,2,"EA","2017-03-07 21:40:05","","chip Resistor","30K ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R129,R132","",""
22,1,"XX","0CH2A-0072A","N","Supplier","Active",6,6,"EA","2016-11-28 13:58:41","","MLCC","10uF K 10V X5R 1.35mm 2012 R/TP","","","6871L-5189A","","C51,C53,C55,C66,C68,C69","",""
23,1,"XX","0CH2104K562","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","MLCC","0.1uF K 50V X7R 0.95mm 1608 R/TP","","","6871L-5189A","","C78","",""
24,1,"XX","0CH2A-0023A","N","Supplier","Active",17,17,"EA","2016-11-28 13:58:41","","MLCC","0.1uF K 25V X7R 0.9mm 1608 R/TP","","","6871L-5189A","","C106,C113,C20,C23,C25,C26,C42,C43,C45,C46,C48,C6,C8,C9,C96,C98,C99","",""
25,1,"XX","0RH2002C422","N","Supplier","Active",2,2,"EA","2016-11-28 13:58:41","","chip Resistor","20K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R123,R126","",""
26,1,"XX","0CH2A-0164A","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","MLCC","0.47UF K 25V X5R 0.95mm 1608 R/TP","","","6871L-5189A","","C32","",""
27,1,"XX","0CH5220K412","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","Temp-Compensation Capacitor","22PF J 50V 1608 R/TP 0.9mm","","","6871L-5189A","","C104","",""
28,1,"XX","0RH1101C422","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","chip Resistor","1.1K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R91","",""
29,1,"XX","0RH2401C422","N","Supplier","Active",6,6,"EA","2017-03-07 21:40:05","","chip Resistor","2.4K ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R15,R21,R39,R40,R41,R58","",""
30,1,"XX","0RH0000C622","N","Supplier","Active",16,16,"EA","2017-03-07 21:40:05","","chip Resistor","0 ohm 1/16W 1608 5% R/TP","","AG17145501","6871L-5189A","","R1,R111,R113,R124,R135,R136,R137,R139,R142,R143,R144,R2,R78,R83,R87,R95","",""
31,1,"XX","0LCAA-0089A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 13:58:41","","Coil Inductor","CMI-DOP3910NH-6R8M COIL MASTER 6.8 UH M=20% 0.9 A 0.26 OHM 3.9X3.9X1 (MM) R/TP","","","6871L-5189A","","L1","",""
32,1,"PU","0FSLO-0012A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 13:58:41","","Slow Blow Fuse","F0603HI2500V032TM AEM Cupper/Nickel 32V 2.5A UL 1.6X0.8X0.95 (MM) R/TP","","","6871L-5189A","","F1","",""
33,1,"XX","0CH2A-0030A","N","Supplier","Active",8,8,"EA","2016-11-28 13:58:41","","MLCC","1uF K 10V X5R 0.55mm 1005 R/TP","","","6871L-5189A","","C28,C29,C30,C31,C34,C35,C36,C37","",""
34,1,"XX","0RH1502C422","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","chip Resistor","15K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R130","",""
35,1,"XX","0CH2473K562","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","MLCC","47nF K 50V X7R 0.95mm 1608 R/TP","","","6871L-5189A","","C61","",""
36,1,"XX","0RH1102C422","N","Supplier","Active",2,2,"EA","2017-03-07 21:40:05","","chip Resistor","11K ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R107,R108","",""
37,1,"XX","0CH2A-0010A","N","Supplier","Active",2,2,"EA","2016-11-28 13:58:41","","MLCC","33nF M 25V X7R 0.9mm 1608 R/TP","","","6871L-5189A","","C84,C85","",""
38,1,"PU","0DHZL-0090A","N","Assembly Pull","Active",2,2,"EA","2016-11-28 13:58:41","","Schottky Diode","SDS7000 AUK SOT-23 R/TP","","","6871L-5189A","","D2,D5","",""
39,1,"XX","0CH2104H942","N","Supplier","Active",3,3,"EA","2016-11-28 13:58:41","","MLCC","0.1uF Z 25V Y5V 0.9mm 1608 R/TP","","","6871L-5189A","","C115,C57,C75","",""
40,1,"XX","0CH5681K412","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","Temp-Compensation Capacitor","680PF J 50V 1608 R/TP 0.9mm","","","6871L-5189A","","C79","",""
41,1,"XX","0RH6801C422","N","Supplier","Active",1,1,"EA","2017-03-07 21:40:05","","chip Resistor","6.8K ohm 1/16W 1608 1% R/TP","","AG17145501","6871L-5189A","","R32","",""
42,1,"XX","0RH3602C422","N","Supplier","Active",1,1,"EA","2016-11-28 13:58:41","","chip Resistor","36K ohm 1/16W 1608 1% R/TP","","","6871L-5189A","","R90","",""
