"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"PU","0ITLL-0135A","N","Assembly Pull","Active",1,1,"EA","2017-01-20 13:25:32","","Timing Controller","TL2392ML TLI LVDS 8 1 MINI-LVDS 6 1 SGIP DPC DGA AFRC HUSH17 MLF TR 40 3.3V INTERNAL LDO","","","6871L-5253A","","UC1","",""
2,1,"XX","0RHAA-0040A","N","Assembly Pull","Active",2,2,"EA","2017-01-20 13:25:32","","chip Resistor","56 ohm 1/16W 1005 1% R/TP","","","6871L-5253A","","R43,R44","",""
3,1,"XX","0RH1002C422","N","Assembly Pull","Active",1,1,"EA","2017-01-20 13:25:32","","chip Resistor","10K ohm 1/16W 1608 1% R/TP","","","6871L-5253A","","R70","",""
4,1,"XX","0CH2A-0036A","N","Assembly Pull","Active",1,1,"EA","2017-01-20 13:25:32","","MLCC","1UF K 50V X5R 1.0mm 3216 R/TP","","","6871L-5253A","","C42","",""
5,1,"XX","0RHAA-0018A","N","Assembly Pull","Active",4,4,"EA","2017-01-20 13:25:32","","chip Resistor","1K ohm 1/16W 1005 1% R/TP","","","6871L-5253A","","R915,R930,R931,R932","",""
6,1,"XX","0RH1202C422","N","Assembly Pull","Active",1,1,"EA","2017-01-20 13:25:32","","chip Resistor","12K ohm 1/16W 1608 1% R/TP","","","6871L-5253A","","R937","",""
7,1,"XX","0CH2A-0167A","N","Assembly Pull","Active",1,1,"EA","2017-01-20 13:25:32","","MLCC","1.2NF K 50V X7R 0.9mm 1608 R/TP","","","6871L-5253A","","C100","",""
8,1,"XX","0CH2A-0018A","N","Assembly Pull","Active",8,8,"EA","2017-01-20 13:25:32","","MLCC","1uF K 6.3V X5R 0.55mm 1005 R/TP","","","6871L-5253A","","C10,C13,C15,C16,C17,C18,C916,C917","",""
9,1,"XX","0CH2A-0289A","N","Assembly Pull","Active",1,1,"EA","2017-01-20 13:25:32","","MLCC","1UF K 25V X6S 0.6mm 1005 R/TP","","","6871L-5253A","","C114","",""
10,1,"XX","0RH4701C422","N","Assembly Pull","Active",2,2,"EA","2017-01-20 13:25:32","","chip Resistor","4.7K ohm 1/16W 1608 1% R/TP","","","6871L-5253A","","R10,R933","",""
11,1,"XX","0CH2A-0060A","N","Assembly Pull","Active",7,7,"EA","2017-01-20 13:25:32","","MLCC","220pF J 50V C0G 0.55mm 1005 R/TP","","","6871L-5253A","","C141,C142,C143,C144,C145,C146,C66","",""
12,1,"XX","0CH5101K418","N","Assembly Pull","Active",1,1,"EA","2017-01-20 13:25:32","","MLCC","100pF J 50V C0G 0.55mm 1005 R/TP","","","6871L-5253A","","C920","",""
13,1,"XX","0CH2A-0024A","N","Assembly Pull","Active",3,3,"EA","2017-01-20 13:25:32","","MLCC","10uF K 25V X7R 2.2mm 3225 R/TP","","","6871L-5253A","","C110,C112,C113","",""
