"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"XX","6870S-1956E","N","Supplier","Active",1,1,"EA","2016-09-05 11:12:32","","Bare PCB","LC550EQY-SJA3-831 1L 1T 579*14.5 8 N Source 588*142.35 Single Side","","","6871L-4840B","","","",""
2,1,"XX","0CH2A-0018A","N","Supplier","Active",19,19,"EA","2016-09-05 11:12:32","","MLCC","1uF K 6.3V X5R 0.55mm 1005 R/TP","","","6871L-4840B","","C1000,C1100,C1101,C1102,C1200,C1201,C1202,C1300,C1301,C1302,C1400,C1401,C1402,C1500,C1501,C1502,C1600,C1601,C1602","",""
3,1,"XX","0RHAA-0071A","N","Supplier","Active",5,5,"EA","2016-09-05 11:12:32","","chip Resistor","300 ohm 1/16W 1005 1% R/TP","","","6871L-4840B","","R1020,R1021,R1022,R1023,R1024","",""
4,1,"XX","0CH2A-0068A","N","Supplier","Active",6,6,"EA","2016-09-05 11:12:32","","MLCC","0.1uF K 10V X7R 0.55mm 1005 R/TP","","","6871L-4840B","","C1103,C1203,C1303,C1403,C1503,C1603","",""
5,1,"XX","0RH1000B422","N","Supplier","Active",8,8,"EA","2016-09-05 11:12:32","","chip Resistor","100 ohm 1/16W 1005 1% R/TP","","","6871L-4840B","","R1000,R1001,R1002,R1003,R1004,R1005,R1006,R1007","",""
6,1,"XX","0CH2A-0152A","N","Supplier","Active",6,6,"EA","2016-09-05 11:12:32","","MLCC","10UF K 25V X5R 1.4mm 2012 R/TP","","","6871L-4840B","","C1105,C1205,C1305,C1405,C1505,C1605","",""
7,1,"XX","0RH0302C422","N","Supplier","Active",2,2,"EA","2016-09-05 11:12:32","","chip Resistor","30 ohm 1/16W 1608 1% R/TP","","","6871L-4840B","","R1082,R1088","",""
8,1,"XX","0RH0000B622","N","Supplier","Active",24,24,"EA","2016-09-05 11:12:32","","chip Resistor","0 ohm 1/16W 1005 5% R/TP","","","6871L-4840B","","R1008,R1009,R1010,R1011,R1015,R1030,R1031,R1032,R1033,R1034,R1035,R1050,R1051,R1052,R1053,R1054,R1055,R1060,R1061,R1062,R1063,R1064,R1065,R1096","",""
9,1,"PU","6640L-0045A","N","Assembly Pull","Active",2,2,"EA","2016-09-05 11:12:32","","EMI Gasket","SMR-TS-4-3-3 4-3-3 0.1 OHM - -45 ~ 85","","","6871L-4840B","","GA102,GA105","",""
10,1,"XX","0CH2A-0038A","N","Supplier","Active",7,7,"EA","2016-09-05 11:12:32","","MLCC","0.1uF Z 25V Y5V 0.55mm 1005 R/TP","","","6871L-4840B","","C1002,C1104,C1204,C1304,C1404,C1504,C1604","",""
11,1,"XX","0RH1001C422","N","Supplier","Active",1,1,"EA","2016-09-05 11:12:32","","chip Resistor","1K ohm 1/16W 1608 1% R/TP","","","6871L-4840B","","R1100","",""
12,1,"XX","0CH2A-0093A","N","Supplier","Active",12,12,"EA","2016-09-05 11:12:32","","MLCC","10UF K 16V X5R 0.95mm 2012 R/TP","","","6871L-4840B","","C1110,C1111,C1210,C1211,C1310,C1311,C1410,C1411,C1510,C1511,C1610,C1611","",""
13,1,"PU","6630L-0297A","Y","Assembly Pull","Active",1,1,"EA","2016-12-01 11:29:54","","FFC/FPC Connector","TF06L-60S-0.5SH HIROSE 60 0.5 FFC Angle Bottom R/TP Non- Locking AUHALOGEN-FREE","","AG16989501","6871L-4840B","","CN6","6630L-0659A","05002HR-H60Y, YEONHO, 60, 0.5, FFC, Angle, Bottom, R/TP, Non- Locking, AU"
14,1,"PU","6630L-0297A","Y","Assembly Pull","Active",1,1,"EA","2016-12-01 11:29:54","","FFC/FPC Connector","TF06L-60S-0.5SH HIROSE 60 0.5 FFC Angle Bottom R/TP Non- Locking AUHALOGEN-FREE","","AG16989501","6871L-4840B","","CN6","6630L-0308A","GF05G-60S-E2000, LS CABLE, 60, 0.5, FFC, Angle, Bottom, R/TP, Non- Locking, AU,HALOGEN-FREE,HOOK TYPE"
