"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"PU","0RH1000C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","100 ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R86,R87","",""
2,1,"PU","0RH1002C422","N","Assembly Pull","Active",3,3,"EA","2017-02-01 17:24:58","","chip Resistor","10K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R113,R132,R82","",""
3,1,"PU","0RH1302C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","13K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R139","",""
4,1,"PU","6322L-0012A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Thermistor","22K +-3% - 0.21 MA 3950 1005 R/TP","","","6871L-4492G","","RT1","",""
5,1,"PU","0CH2A-0007A","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","MLCC","1uF K 10V X5R 0.9mm 1608 R/TP","","","6871L-4492G","","C46,C62","",""
6,1,"PU","0RH1202C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","12K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R36,R40","",""
7,1,"PU","0RH0472C422","N","Assembly Pull","Active",24,24,"EA","2017-02-01 17:24:58","","chip Resistor","47 ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R10,R11,R12,R13,R14,R146,R147,R148,R150,R151,R152,R153,R154,R155,R156,R157,R158,R16,R17,R18,R5,R6,R7,R9","",""
8,1,"PU","0RH2201C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","2.2K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R22,R26","",""
9,1,"PU","0LCZZ-0026A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Chip Inductor","CPI2520NHL6R8ME SAMHWA 6.8UH M=20% 1.2A 2520 R/TP","","","6871L-4492G","","L2","",""
10,1,"PU","0CH2A-0060A","N","Assembly Pull","Active",9,9,"EA","2017-02-01 17:24:58","","MLCC","220pF J 50V C0G 0.55mm 1005 R/TP","","","6871L-4492G","","C101,C103,C105,C106,C107,C108,C109,C110,C111","",""
11,1,"PU","0RH8201C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","8.2K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R74","",""
12,1,"PU","0RH9101C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","9.1K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R105,R33","",""
13,1,"PU","0RH1503C422","N","Assembly Pull","Active",3,3,"EA","2017-02-01 17:24:58","","chip Resistor","150K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R136,R140,R59","",""
14,1,"PU","0RH2703C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","270K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R104","",""
15,1,"PU","0RH5102C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","51K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R60","",""
16,1,"PU","0LCZZ-0004A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Chip Inductor","LQM2MPN2R2NG0 MURATA 2.2UH +-30% 1.2A 2X1.6X1.0MAX R/TP","","","6871L-4492G","","L3","",""
17,1,"PU","0CH2A-0135A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","MLCC","10UF K 10V X7R 1.4mm 2012 R/TP","","","6871L-4492G","","C81","",""
18,1,"PU","0RH1602C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","16K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R62,R97","",""
19,1,"PU","0RH3002C422","N","Assembly Pull","Active",3,3,"EA","2017-02-01 17:24:58","","chip Resistor","30K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R111,R112,R51","",""
20,1,"PU","0CH2A-0070A","N","Assembly Pull","Active",7,7,"EA","2017-02-01 17:24:58","","MLCC","10uF K 25V X5R 1.5mm 2012 R/TP","","","6871L-4492G","","C22,C43,C52,C54,C56,C84,C86","",""
21,1,"PU","0RH2002C422","N","Assembly Pull","Active",3,3,"EA","2017-02-01 17:24:58","","chip Resistor","20K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R43,R73,R75","",""
22,1,"PU","0RH2401C422","N","Assembly Pull","Active",3,3,"EA","2017-02-01 17:24:58","","chip Resistor","2.4K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R63,R83,R84","",""
23,1,"PU","0RH3902C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","39K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R38","",""
24,1,"PU","0CH2A-0080A","N","Assembly Pull","Active",8,8,"EA","2017-02-01 17:24:58","","MLCC","2.2uF K 10V X5R 0.55mm 1005 R/TP","","","6871L-4492G","","C118,C119,C120,C121,C20,C40,C7,C93","",""
25,1,"PU","0RH0000C622","N","Assembly Pull","Active",15,15,"EA","2017-02-01 17:24:58","","chip Resistor","0 ohm 1/16W 1608 5% R/TP","","","6871L-4492G","","R115,R119,R123,R124,R125,R134,R141,R143,R145,R149,R15,R166,R167,R19,R64","",""
26,1,"PU","0FSLO-0012A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Slow Blow Fuse","F0603HI2500V032TM AEM Cupper/Nickel 32V 2.5A UL 1.6X0.8X0.95 (MM) R/TP","","","6871L-4492G","","F1","",""
27,1,"PU","0RH2702C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","27K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R106","",""
28,1,"PU","0RH1000B422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","100 ohm 1/16W 1005 1% R/TP","","","6871L-4492G","","R69,R72","",""
29,1,"PU","0CH2A-0004A","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","MLCC","10uF K 10V X5R 1.8mm 3216 R/TP","","","6871L-4492G","","C47,C58","",""
30,1,"PU","0CH2A-0030A","N","Assembly Pull","Active",21,21,"EA","2017-02-01 17:24:58","","MLCC","1uF K 10V X5R 0.55mm 1005 R/TP","","","6871L-4492G","","C100,C11,C13,C15,C17,C18,C19,C33,C34,C35,C36,C37,C38,C4,C41,C42,C5,C6,C76,C98,C99","",""
31,1,"PU","0RH1502C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","15K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R114,R32","",""
32,1,"PU","0CH2473K562","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","MLCC","47nF K 50V X7R 0.95mm 1608 R/TP","","","6871L-4492G","","C67","",""
33,1,"PU","0CH2A-0010A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","MLCC","33nF M 25V X7R 0.9mm 1608 R/TP","","","6871L-4492G","","C78","",""
34,1,"PU","0CH2A-0091A","N","Assembly Pull","Active",12,12,"EA","2017-02-01 17:24:58","","MLCC","1uF K 25V X5R 0.6mm 1005 R/TP","","","6871L-4492G","","C10,C104,C12,C14,C16,C21,C3,C31,C39,C44,C8,C92","",""
35,1,"PU","0ISGL-0008E","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","EEPROM","M24C04-FDW6TP ST 4K 5MS 1.7V SUPPLY VOLTAGE TSSOP R/TP 8","","","6871L-4492G","","U1","",""
36,1,"PU","0DHZL-0090A","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","Schottky Diode","SDS7000 AUK SOT-23 R/TP","","","6871L-4492G","","D2,D5","",""
37,1,"PU","0CH2104H942","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","MLCC","0.1uF Z 25V Y5V 0.9mm 1608 R/TP","","","6871L-4492G","","C64","",""
38,1,"PU","0DHZL-0076A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Zener Diode","SDZ3V3D AUK SOD-323 R/TP","","","6871L-4492G","","ZD1","",""
39,1,"PU","0DHZL-0165A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","ESD Protection Diode","SD05 DIODES SOD-323 R/TP","","","6871L-4492G","","D1","",""
40,1,"PU","6630L-0180A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Wire-Board Connector","IS100-L30O-C23 UJU 30PIN 1.0MM Angle Female R/TP 2.3MM Y Sn","","","6871L-4492G","","CN1","",""
41,1,"PU","0RH6201C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","6.2K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R31,R34","",""
42,1,"PU","0RH5603C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","560K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R126,R131","",""
43,1,"PU","0CH2A-0088A","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","MLCC","3.3nF K 50V X7R 0.9mm 1608 R/TP","","","6871L-4492G","","C61,C73","",""
44,1,"PU","0CH2222K562","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","MLCC","2.2nF K 50V X7R 0.9mm 1608 R/TP","","","6871L-4492G","","C114,C60","",""
45,1,"PU","0RH3602C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","36K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R41,R44","",""
46,1,"PU","0CH2A-0015A","N","Assembly Pull","Active",10,10,"EA","2017-02-01 17:24:58","","MLCC","1uF K 25V X5R 0.9mm 1608 R/TP","","","6871L-4492G","","C57,C70,C71,C72,C74,C85,C87,C88,C89,C90","",""
47,1,"PU","0RH3300C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","330 ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R90","",""
48,1,"PU","0RH0221C622","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","2.2 ohm 1/16W 1608 5% R/TP","","","6871L-4492G","","R102","",""
49,1,"PU","0RH7501C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","7.5K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R103","",""
50,1,"PU","0CH2102K562","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","MLCC","1NF K 50V X7R 0.9mm 1608 R/TP","","","6871L-4492G","","C63,C65","",""
51,1,"PU","0RH5101C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","5.1K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R116","",""
52,1,"PU","0ISWL-0202A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Timing Controller","SW0679 SIW LVDS 6/8 2 EPI 6 3/4 DRD SGIP 4/6/8P AFRC DGA SD SM L80 SFA Z-INV ESD LOWELL15 MLF TR 48","","","6871L-4492G","","UC1","",""
53,1,"PU","0RH0000B622","N","Assembly Pull","Active",23,23,"EA","2017-02-01 17:24:58","","chip Resistor","0 ohm 1/16W 1005 5% R/TP","","","6871L-4492G","","R101,R121,R128,R129,R161,R162,R163,R2,R29,R3,R30,R4,R46,R47,R57,R58,R65,R66,R80,R81,R92,R93,R98","",""
54,1,"PU","0RH2202C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","22K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R108","",""
55,1,"PU","0RH1001C422","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","chip Resistor","1K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R85","",""
56,1,"PU","6200C-0014A","N","Assembly Pull","Active",3,3,"EA","2017-02-01 17:24:58","","Bead Core Filter","BLM18EG601SN1D MURATA 600 OHM 1.6X0.8 R/TP","","","6871L-4492G","","FL1,FL4,FL7","",""
57,1,"PU","0RH3001C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","3K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R50,R54","",""
58,1,"PU","0RH1601C422","N","Assembly Pull","Active",2,2,"EA","2017-02-01 17:24:58","","chip Resistor","1.6K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R95,R96","",""
59,1,"PU","0CH2A-0258A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","MLCC","1UF K 25V X7R 0.9mm 1608 R/TP","","","6871L-4492G","","C115","",""
60,1,"PU","0DHZL-0131A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Schottky Diode","SDB0740 AUK SOT-23 R/TP","","","6871L-4492G","","D4","",""
61,1,"PU","0LCAA-0039A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Coil Inductor","DP8L18F-100M COIL MASTER 10uH M=20% 1.9A 114m Ohm 8.1x6.8x1.8 R/TP","","","6871L-4492G","","L1","",""
62,1,"PU","0RH1003C422","N","Assembly Pull","Active",5,5,"EA","2017-02-01 17:24:58","","chip Resistor","100K ohm 1/16W 1608 1% R/TP","","","6871L-4492G","","R109,R110,R117,R24,R61","",""
63,1,"PU","0ISWL-0206C","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:58","","Power Integration IC","SW5099B SILICON WORKS MNT VDD BOOST + VGH BOOST + VGL C/P +VGLUD C/P + VCC BUCK + L/S 8CH + OPAMP + DISCHARGING + GPM + PVCOM QFN R/TP 48","","","6871L-4492G","","US1","",""
64,1,"XX","6870S-2230A","N","Supplier","Active",1,1,"EA","2017-02-01 17:24:58","","Bare PCB","LM238WF1-SLK1-8L1 2L 1 455.0*25.9 6 J Source 108 Single Side","","","6871L-4492G","","","",""
