"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"XX","0RH1000C422","N","Supplier","Active",2,2,"EA","2017-02-01 17:24:10","","chip Resistor","100 ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R103,R104","",""
2,1,"XX","0RH1002C422","N","Supplier","Active",3,3,"EA","2017-02-01 17:24:10","","chip Resistor","10K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R114,R203,R221","",""
3,1,"XX","0RH1302C422","N","Supplier","Active",1,1,"EA","2017-02-01 17:24:10","","chip Resistor","13K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R356","",""
4,1,"PU","6322L-0012A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:10","","Thermistor","22K +-3% - 0.21 MA 3950 1005 R/TP","","","6871L-4692F","","RT1","",""
5,1,"XX","0CH2A-0007A","N","Supplier","Active",2,2,"EA","2017-02-01 17:24:10","","MLCC","1uF K 10V X5R 0.9mm 1608 R/TP","","","6871L-4692F","","C110,C231","",""
6,1,"XX","0RH1202C422","N","Supplier","Active",2,2,"EA","2017-02-01 17:24:10","","chip Resistor","12K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R344,R348","",""
7,1,"XX","0RH0472C422","N","Supplier","Active",24,24,"EA","2017-02-01 17:24:10","","chip Resistor","47 ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R235,R236,R237,R238,R239,R240,R241,R242,R243,R244,R245,R246,R247,R248,R249,R250,R251,R252,R253,R254,R255,R256,R257,R258","",""
8,1,"XX","0RH2201C422","N","Supplier","Active",2,2,"EA","2017-02-01 17:24:10","","chip Resistor","2.2K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R362,R365","",""
9,1,"PU","0LCZZ-0026A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:10","","Chip Inductor","CPI2520NHL6R8ME SAMHWA 6.8UH M=20% 1.2A 2520 R/TP","","","6871L-4692F","","L2","",""
10,1,"XX","0CH2A-0060A","N","Supplier","Active",9,9,"EA","2017-02-01 17:24:10","","MLCC","220pF J 50V C0G 0.55mm 1005 R/TP","","","6871L-4692F","","C246,C247,C248,C249,C250,C251,C252,C253,C254","",""
11,1,"XX","0RH9101C422","N","Supplier","Active",2,2,"EA","2017-02-01 17:24:10","","chip Resistor","9.1K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R231,R340","",""
12,1,"XX","0RH1503C422","N","Supplier","Active",3,3,"EA","2017-02-01 17:24:10","","chip Resistor","150K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R354,R358,R359","",""
13,1,"XX","0RH2703C422","N","Supplier","Active",1,1,"EA","2017-02-01 17:24:10","","chip Resistor","270K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R232","",""
14,1,"XX","0RH5102C422","N","Supplier","Active",1,1,"EA","2017-02-01 17:24:10","","chip Resistor","51K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R360","",""
15,1,"PU","0LCZZ-0004A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:10","","Chip Inductor","LQM2MPN2R2NG0 MURATA 2.2UH +-30% 1.2A 2X1.6X1.0MAX R/TP","","","6871L-4692F","","L3","",""
16,1,"XX","0RH1602C422","N","Supplier","Active",2,2,"EA","2017-02-01 17:24:10","","chip Resistor","16K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R107,R210","",""
17,1,"XX","0RH3002C422","N","Supplier","Active",4,4,"EA","2017-02-01 17:24:10","","chip Resistor","30K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R214,R215,R229,R331","",""
18,1,"XX","0CH2A-0072A","N","Supplier","Active",3,3,"EA","2017-02-01 17:24:10","","MLCC","10uF K 10V X5R 1.35mm 2012 R/TP","","","6871L-4692F","","C109,C229,C232","",""
19,1,"XX","0CH2A-0070A","N","Supplier","Active",7,7,"EA","2017-02-01 17:24:10","","MLCC","10uF K 25V X5R 1.5mm 2012 R/TP","","","6871L-4692F","","C206,C208,C209,C221,C222,C305,C309","",""
20,1,"XX","0RH2002C422","N","Supplier","Active",3,3,"EA","2017-02-01 17:24:10","","chip Resistor","20K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R336,R349,R353","",""
21,1,"XX","0RH2401C422","N","Supplier","Active",3,3,"EA","2017-02-01 17:24:10","","chip Resistor","2.4K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R108,R112,R113","",""
22,1,"XX","0RH3902C422","N","Supplier","Active",1,1,"EA","2017-02-01 17:24:10","","chip Resistor","39K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R346","",""
23,1,"XX","0RH0000C622","N","Supplier","Active",16,16,"EA","2017-02-01 17:24:10","","chip Resistor","0 ohm 1/16W 1608 5% R/TP","","","6871L-4692F","","R109,R202,R204,R213,R217,R222,R223,R225,R233,R261,R311,R312,R325,R326,R367,R368","",""
24,1,"PU","0FSLO-0012A","N","Assembly Pull","Active",1,1,"EA","2017-02-01 17:24:10","","Slow Blow Fuse","F0603HI2500V032TM AEM Cupper/Nickel 32V 2.5A UL 1.6X0.8X0.95 (MM) R/TP","","","6871L-4692F","","F1","",""
25,1,"XX","0RH2702C422","N","Supplier","Active",1,1,"EA","2017-02-01 17:24:10","","chip Resistor","27K ohm 1/16W 1608 1% R/TP","","","6871L-4692F","","R227","",""
